# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
2348.4000 F1007 344236 3 1341.4000 cm110 t97 277 N cm110->w85->c59->t97
2358.9000 F2307 291049 1 51.9000 cm111 pm108 299 N cm111->pm108
2375.9000 F2158 293072 1 217.9000 pm108 c50 296 N pm108->c50
2445.1000 F1311 392556 3 1134.1000 pm105 t98 281 N pm105->c36->p15->t98
2451.2000 F2287 421076 2 164.2000 pm107 p8 297 N pm107->c63->p8
2466.9000 F2200 189293 2 266.9000 pm107 w89 295 N pm107->c63->w89
2493.3000 F355 411591 4 2138.3000 cm114 wm118 264 N cm114->w93->w68->c58->wm118
2497.7000 F1532 286197 3 965.7000 pm102 wm123 283 N pm102->c32->t100->wm123
2541.8000 F2227 346046 1 314.8000 pm107 cm110 294 N pm107->cm110
2554.7000 F1827 364592 2 727.7000 cm111 c48 287 N cm111->c51->c48
2591.3000 F1975 222487 2 616.3000 pm105 p13 289 N pm105->t98->p13
2611.6000 F290 123662 2 2321.6000 pm107 c56 261 N pm107->c37->c56
2634.5000 F1807 126900 2 827.5000 pm108 cm116 286 N pm108->c34->cm116
2661.2000 M69 580609 1 600.2000 c43 w86 289 N c43->w86
2662.0000 F1996 464854 2 666.0000 wm124 pm103 288 N wm124->p21->pm103
2677.6000 F2512 210914 1 165.6000 cm116 c57 297 N cm116->c57
2680.8000 F2397 270445 1 283.8000 pm107 c36 295 N pm107->c36
2687.3000 F1424 202324 2 1263.3000 cm111 w81 278 N cm111->p19->w81
2687.7000 F322 155163 3 2365.7000 pm108 cm113 260 N pm108->p25->w84->cm113
2688.2000 F2294 339157 2 394.2000 wm122 p24 293 N wm122->pm104->p24
2688.9000 F2584 152581 1 104.9000 pm104 p24 298 N pm104->p24
2689.2000 F1900 211505 3 789.2000 cm115 w71 286 N cm115->c63->c41->w71
2695.7000 F298 139664 4 2397.7000 wm121 pm102 260 N wm121->c48->w95->c47->pm102
2696.3000 F225 149269 4 2471.3000 wm121 pm102 258 N wm121->c48->w95->c47->pm102
2733.3000 F2589 460288 1 144.3000 cm117 c50 297 N cm117->c50
2743.9000 F1153 132961 3 1590.9000 wm123 w90 273 N wm123->p15->c49->w90
2764.5000 F2109 345781 3 655.5000 pm102 w64 289 N pm102->t97->t96->w64
